Feature,Brand,Response
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 Reasonable _Pricing ,Limelight,1
 not_Reasonable _Pricing ,Limelight,0
 not_Reasonable _Pricing ,Limelight,0
 not_Reasonable _Pricing ,Limelight,0
 not_Reasonable _Pricing ,Limelight,0
 not_Reasonable _Pricing ,Limelight,0
 not_Reasonable _Pricing ,Limelight,0
 not_Reasonable _Pricing ,Limelight,0
 not_Reasonable _Pricing ,Limelight,0
 not_Reasonable _Pricing ,Limelight,0
 not_Reasonable _Pricing ,Limelight,0
 not_Reasonable _Pricing ,Limelight,0
 Reasonable _Pricing ,Bonanza Satrangi,1
 Reasonable _Pricing ,Bonanza Satrangi,1
 Reasonable _Pricing ,Bonanza Satrangi,1
 Reasonable _Pricing ,Bonanza Satrangi,1
 Reasonable _Pricing ,Bonanza Satrangi,1
 Reasonable _Pricing ,Bonanza Satrangi,1
 Reasonable _Pricing ,Bonanza Satrangi,1
 Reasonable _Pricing ,Bonanza Satrangi,1
 Reasonable _Pricing ,Bonanza Satrangi,1
 Reasonable _Pricing ,Bonanza Satrangi,1
 Reasonable _Pricing ,Bonanza Satrangi,1
 Reasonable _Pricing ,Bonanza Satrangi,1
 not_Reasonable _Pricing ,Bonanza Satrangi,0
 not_Reasonable _Pricing ,Bonanza Satrangi,0
 not_Reasonable _Pricing ,Bonanza Satrangi,0
 not_Reasonable _Pricing ,Bonanza Satrangi,0
 not_Reasonable _Pricing ,Bonanza Satrangi,0
 not_Reasonable _Pricing ,Bonanza Satrangi,0
 not_Reasonable _Pricing ,Bonanza Satrangi,0
 not_Reasonable _Pricing ,Bonanza Satrangi,0
 Reasonable _Pricing ,Khaddi,1
 Reasonable _Pricing ,Khaddi,1
 Reasonable _Pricing ,Khaddi,1
 Reasonable _Pricing ,Khaddi,1
 Reasonable _Pricing ,Khaddi,1
 Reasonable _Pricing ,Khaddi,1
 Reasonable _Pricing ,Khaddi,1
 Reasonable _Pricing ,Khaddi,1
 Reasonable _Pricing ,Khaddi,1
 Reasonable _Pricing ,Khaddi,1
 Reasonable _Pricing ,Khaddi,1
 Reasonable _Pricing ,Khaddi,1
 Reasonable _Pricing ,Khaddi,1
 Reasonable _Pricing ,Khaddi,1
 Reasonable _Pricing ,Khaddi,1
 not_Reasonable _Pricing ,Khaddi,0
 not_Reasonable _Pricing ,Khaddi,0
 not_Reasonable _Pricing ,Khaddi,0
 not_Reasonable _Pricing ,Khaddi,0
 not_Reasonable _Pricing ,Khaddi,0
 not_Reasonable _Pricing ,Khaddi,0
 not_Reasonable _Pricing ,Khaddi,0
 not_Reasonable _Pricing ,Khaddi,0
 not_Reasonable _Pricing ,Khaddi,0
 not_Reasonable _Pricing ,Khaddi,0
 not_Reasonable _Pricing ,Khaddi,0
 Reasonable _Pricing ,Alkaram,1
 Reasonable _Pricing ,Alkaram,1
 Reasonable _Pricing ,Alkaram,1
 Reasonable _Pricing ,Alkaram,1
 Reasonable _Pricing ,Alkaram,1
 Reasonable _Pricing ,Alkaram,1
 Reasonable _Pricing ,Alkaram,1
 Reasonable _Pricing ,Alkaram,1
 Reasonable _Pricing ,Alkaram,1
 Reasonable _Pricing ,Alkaram,1
 Reasonable _Pricing ,Alkaram,1
 Reasonable _Pricing ,Alkaram,1
 Reasonable _Pricing ,Alkaram,1
 not_Reasonable _Pricing ,Alkaram,0
 not_Reasonable _Pricing ,Alkaram,0
 not_Reasonable _Pricing ,Alkaram,0
 not_Reasonable _Pricing ,Alkaram,0
 not_Reasonable _Pricing ,Alkaram,0
 not_Reasonable _Pricing ,Alkaram,0
 Reasonable _Pricing ,Gul Ahmed,1
 Reasonable _Pricing ,Gul Ahmed,1
 Reasonable _Pricing ,Gul Ahmed,1
 Reasonable _Pricing ,Gul Ahmed,1
 Reasonable _Pricing ,Gul Ahmed,1
 Reasonable _Pricing ,Gul Ahmed,1
 Reasonable _Pricing ,Gul Ahmed,1
 Reasonable _Pricing ,Gul Ahmed,1
 Reasonable _Pricing ,Gul Ahmed,1
 Reasonable _Pricing ,Gul Ahmed,1
 Reasonable _Pricing ,Gul Ahmed,1
 not_Reasonable _Pricing ,Gul Ahmed,0
 not_Reasonable _Pricing ,Gul Ahmed,0
 not_Reasonable _Pricing ,Gul Ahmed,0
 not_Reasonable _Pricing ,Gul Ahmed,0
 not_Reasonable _Pricing ,Gul Ahmed,0
 not_Reasonable _Pricing ,Gul Ahmed,0
 not_Reasonable _Pricing ,Gul Ahmed,0
 not_Reasonable _Pricing ,Gul Ahmed,0
 not_Reasonable _Pricing ,Gul Ahmed,0
 not_Reasonable _Pricing ,Gul Ahmed,0
 Reasonable _Pricing ,Asim Jofa,1
 not_Reasonable _Pricing ,Asim Jofa,0
 not_Reasonable _Pricing ,Asim Jofa,0
 not_Reasonable _Pricing ,Asim Jofa,0
 not_Reasonable _Pricing ,Asim Jofa,0
 not_Reasonable _Pricing ,Asim Jofa,0
 not_Reasonable _Pricing ,Asim Jofa,0
 not_Reasonable _Pricing ,Asim Jofa,0
 not_Reasonable _Pricing ,Asim Jofa,0
 not_Reasonable _Pricing ,Asim Jofa,0
 not_Reasonable _Pricing ,Asim Jofa,0
 not_Reasonable _Pricing ,Asim Jofa,0
 not_Reasonable _Pricing ,Asim Jofa,0
 not_Reasonable _Pricing ,Asim Jofa,0
 not_Reasonable _Pricing ,Asim Jofa,0
 Reasonable _Pricing ,J.,1
 Reasonable _Pricing ,J.,1
 Reasonable _Pricing ,J.,1
 Reasonable _Pricing ,J.,1
 Reasonable _Pricing ,J.,1
 Reasonable _Pricing ,J.,1
 Reasonable _Pricing ,J.,1
 not_Reasonable _Pricing ,J.,0
 not_Reasonable _Pricing ,J.,0
 not_Reasonable _Pricing ,J.,0
 not_Reasonable _Pricing ,J.,0
 not_Reasonable _Pricing ,J.,0
 not_Reasonable _Pricing ,J.,0
 not_Reasonable _Pricing ,J.,0
 not_Reasonable _Pricing ,J.,0
 not_Reasonable _Pricing ,J.,0
 not_Reasonable _Pricing ,J.,0
 not_Reasonable _Pricing ,J.,0
 not_Reasonable _Pricing ,J.,0
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 Reasonable _Pricing ,Sapphire,1
 not_Reasonable _Pricing ,Sapphire,0
 not_Reasonable _Pricing ,Sapphire,0
 not_Reasonable _Pricing ,Sapphire,0
 not_Reasonable _Pricing ,Sapphire,0
 not_Reasonable _Pricing ,Sapphire,0
 not_Reasonable _Pricing ,Sapphire,0
 not_Reasonable _Pricing ,Sapphire,0
 good_ refund _and_ return policy,Maria B,1
 good_ refund _and_ return policy,Maria B,1
 good_ refund _and_ return policy,Maria B,1
 good_ refund _and_ return policy,Maria B,1
 good_ refund _and_ return policy,Maria B,1
 good_ refund _and_ return policy,Maria B,1
 good_ refund _and_ return policy,Maria B,1
 good_ refund _and_ return policy,Maria B,1
 good_ refund _and_ return policy,Maria B,1
 bad_ refund _and_ return policy,Maria B,0
 bad_ refund _and_ return policy,Maria B,0
 bad_ refund _and_ return policy,Maria B,0
 bad_ refund _and_ return policy,Maria B,0
 bad_ refund _and_ return policy,Maria B,0
 bad_ refund _and_ return policy,Maria B,0
 good_ refund _and_ return policy,Sana Safinaz,1
 good_ refund _and_ return policy,Sana Safinaz,1
 good_ refund _and_ return policy,Sana Safinaz,1
 good_ refund _and_ return policy,Sana Safinaz,1
 good_ refund _and_ return policy,Sana Safinaz,1
 good_ refund _and_ return policy,Sana Safinaz,1
 good_ refund _and_ return policy,Sana Safinaz,1
 good_ refund _and_ return policy,Sana Safinaz,1
 good_ refund _and_ return policy,Sana Safinaz,1
 bad_ refund _and_ return policy,Sana Safinaz,0
 bad_ refund _and_ return policy,Sana Safinaz,0
 bad_ refund _and_ return policy,Sana Safinaz,0
 bad_ refund _and_ return policy,Sana Safinaz,0
 bad_ refund _and_ return policy,Sana Safinaz,0
 bad_ refund _and_ return policy,Sana Safinaz,0
 bad_ refund _and_ return policy,Sana Safinaz,0
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
 good_ refund _and_ return policy,Limelight,1
